Name,Team,Position,Height(cm),Weight(Pounds),Age
Bobby_Jenks,CWS,Relief_Pitcher,75,1070,25.96
Boone_Logan,CWS,Relief_Pitcher,77,68,22.55
Sean_Tracey,CWS,Relief_Pitcher,75,229,26.29
Nick_Masset,CWS,Relief_Pitcher,76,88,24.79
Jose_Molina,ANA,Catcher,74,95,31.74
Jeff_Mathis,ANA,Catcher,72,102,23.92
Mike_Napoli,ANA,Catcher,72,93,25.33
Casey_Kotchman,ANA,First_Baseman,75,199,24.02
Kendry_Morales,ANA,First_Baseman,73,280,23.7
Shea_Hillenbrand,ANA,First_Baseman,73,43,31.59
Robb_Quinlan,ANA,First_Baseman,73,296,29.95
Howie_Kendrick,ANA,First_Baseman,70,310,23.64
Orlando_Cabrera,ANA,Shortstop,70,306,32.33
Erick_Ayba,ANA,Shortstop,70,309,23.13
Dallas_McPherson,ANA,Third_Baseman,76,180,26.6
Maicer_Izturis,ANA,Third_Baseman,68,105,26.46
Reggie_Willits,ANA,Outfielder,71,125,25.75
Tommy_Murphy,ANA,Outfielder,72,235,27.51
Terry_Evans,ANA,Outfielder,75,177,25.11
Gary_Matthews_Jr.,ANA,Outfielder,75,325,32.51
Garret_Anderson,ANA,Outfielder,75,91,34.67
Vladimir_Guerrero,ANA,Outfielder,75,330,31.06
Chone_Figgins,ANA,Outfielder,68,334,29.1
Juan_Rivera,ANA,Outfielder,74,122,28.66
John_Lackey,ANA,Starting_Pitcher,78,135,28.35
Bartolo_Colon,ANA,Starting_Pitcher,71,410,33.77
Kelvim_Escobar,ANA,Starting_Pitcher,73,86,30.89
Dustin_Moseley,ANA,Starting_Pitcher,76,425,37.74
Ervin_Santana,ANA,Starting_Pitcher,74,412,24.14
Joe_Saunders,ANA,Starting_Pitcher,74,107,25.71
Jered_Weaver,ANA,Starting_Pitcher,79,386,24.41
Chris_Resop,ANA,Relief_Pitcher,75,414,24.32
Phil_Seibel,ANA,Relief_Pitcher,73,80,28.09
Justin_Speier,ANA,Relief_Pitcher,76,48,33.31
Darren_Oliver,ANA,Relief_Pitcher,74,446,36.4
Hector_Carrasco,ANA,Relief_Pitcher,74,398,37.36
Scot_Shields,ANA,Relief_Pitcher,73,121,31.61

